QuestionID,Category,OriginalFilename,BlockDescription
Q20,FAKE,0060.jpg,Img_F_A001
Q23,REAL,0010.jpg,Img_R_A002
Q26,REAL,1108.jpg,Img_R_A003
Q29,FAKE,0513.jpg,Img_F_A004
Q32,FAKE,0093.jpg,Img_F_A005
Q35,REAL,0831.jpg,Img_R_A006
Q38,REAL,1048.jpg,Img_R_A007
Q41,REAL,0031.jpg,Img_R_A008
Q44,FAKE,0013.jpg,Img_F_A009
Q47,FAKE,0173.jpg,Img_F_A010
Q50,FAKE,0174.jpg,Img_F_A011
Q53,FAKE,0108.jpg,Img_F_A012
Q56,FAKE,0211.jpg,Img_F_A013
Q59,REAL,1188.jpg,Img_R_A014
Q62,REAL,0506.jpg,Img_R_A015
Q65,REAL,0551.jpg,Img_R_A016
Q68,REAL,0287.jpg,Img_R_A017
Q71,FAKE,0271.jpg,Img_F_A018
Q74,FAKE,0234.jpg,Img_F_A019
Q77,REAL,0099.jpg,Img_R_A020
Q80,FAKE,0337.jpg,Img_F_A021
Q83,FAKE,0476.jpg,Img_F_A022
Q86,REAL,0150.jpg,Img_R_A023
Q89,REAL,1187.jpg,Img_R_A024
Q92,FAKE,0029.jpg,Img_F_A025
Q95,REAL,0235.jpg,Img_R_A026
Q98,FAKE,0436.jpg,Img_F_A027
Q101,REAL,0826.jpg,Img_R_B001
Q104,FAKE,0338.jpg,Img_F_B002
Q107,REAL,1047.jpg,Img_R_B003
Q110,FAKE,0300.jpg,Img_F_B004
Q113,REAL,0050.jpg,Img_R_B005
Q116,FAKE,0307.jpg,Img_F_B006
Q119,FAKE,0144.jpg,Img_F_B007
Q122,FAKE,0147.jpg,Img_F_B008
Q125,REAL,0637.jpg,Img_R_B009
Q128,FAKE,0210.jpg,Img_F_B010
Q131,REAL,0060.jpg,Img_R_B011
Q134,FAKE,0014.jpg,Img_F_B012
Q137,REAL,0104.jpg,Img_R_B013
Q140,FAKE,0003.jpg,Img_F_B014
Q143,FAKE,0112.jpg,Img_F_B015
Q146,FAKE,0299.jpg,Img_F_B016
Q149,FAKE,0105.jpg,Img_F_B017
Q152,FAKE,0150.jpg,Img_F_B018
Q155,REAL,0106.jpg,Img_R_B019
Q158,REAL,0285.jpg,Img_R_B020
Q161,REAL,0238.jpg,Img_R_B021
Q164,REAL,0913.jpg,Img_R_B022
Q167,REAL,0148.jpg,Img_R_B023
Q170,FAKE,0017.jpg,Img_F_B024
Q173,REAL,0550.jpg,Img_R_B025
Q176,FAKE,0421.jpg,Img_F_B026
Q179,FAKE,0801.png,Img_F_B027
Q185,REAL,0532.jpg,Img_R_C002
Q188,FAKE,0332.jpg,Img_F_C003
Q191,FAKE,0021.jpg,Img_F_C004
Q194,FAKE,0235.jpg,Img_F_C005
Q197,REAL,0155.jpg,Img_R_C006
Q200,REAL,0824.jpg,Img_R_C007
Q203,FAKE,0171.jpg,Img_F_C008
Q206,REAL,0100.jpg,Img_R_C009
Q209,REAL,0633.jpg,Img_R_C010
Q212,REAL,0768.jpg,Img_R_C011
Q215,FAKE,0291.jpg,Img_F_C012
Q218,REAL,1051.jpg,Img_R_C013
Q221,FAKE,0296.jpg,Img_F_C014
Q224,REAL,0019.jpg,Img_R_C015
Q227,FAKE,0026.jpg,Img_F_C016
Q230,REAL,0232.jpg,Img_R_C017
Q233,REAL,0239.jpg,Img_R_C018
Q236,FAKE,0445.jpg,Img_F_C019
Q239,REAL,0003.jpg,Img_R_C020
Q242,REAL,0833.jpg,Img_R_C021
Q245,FAKE,0006.jpg,Img_F_C022
Q248,REAL,0499.jpg,Img_R_C023
Q251,FAKE,0214.jpg,Img_F_C024
Q254,REAL,1111.jpg,Img_R_C025
Q257,REAL,0676.jpg,Img_R_C026
Q260,FAKE,0161.jpg,Img_F_C027
Q263,ATTN,Gemini_Generated_Image_xkl9lxxkl9lxxkl9.png,AttentionCheck_1
Q265,ATTN,Gemini_Generated_Image_zczo56zczo56zczo.png,AttentionCheck_2
