duration_sec,affiliation,student,age_group,gender,device_type,ai_familiarity,ai_use_time,detect_easy,ai_literacy,ai_course,social_media_time,score_total,avg_resp_time,avg_conf,attn_check1,attn_conf1,attn_check2,attn_conf2,attn_both,tp_count,tn_count,fp_count,fn_count,tp_rate,tn_rate,ai_img_seen,real_img_seen,ai_classes,device_other,img_count,q1_conf,q2_conf,q3_conf,q4_conf,q5_conf,q6_conf,q7_conf,q8_conf,q9_conf,q10_conf,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
866,Faculty/Staff,No,25-34,Prefer not to say,Mobile phone,Somewhat familiar,No AI use,53,69,No,2-4 hrs/day,7,11.8364,7.3000002,Yes,10,Yes,10,Yes,3,4,2,1,.75,.66666669,4,6,,,10,7,8,8,8,8,7,8,6,8,5,TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),"FN - missed AI image, called it real (miss)",FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject)
257,Class of 2028 (Sophomores),Yes,,Man,Laptop,Somewhat familiar,<1 hr/week,50,48,No,2-4 hrs/day,9,14.6911,7.8000002,Yes,10,Yes,10,Yes,5,4,0,1,.83333331,1,6,4,,,10,5,8,7,9,9,9,7,9,8,7,TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),"FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject)
497,Class of 2028 (Sophomores),Yes,,Man,Mobile phone,Very familiar,<1 hr/week,32,59,No,30 min-1 hr/day,3,35.047501,5.5,Yes,9,Yes,10,Yes,1,2,5,2,.33333334,.2857143,3,7,,,21,5,7,3,10,5,5,4,4,5,7,FP - called real photo AI-generated (false alarm),"FN - missed AI image, called it real (miss)",FP - called real photo AI-generated (false alarm),FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm),"FN - missed AI image, called it real (miss)",FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject)
515,Faculty/Staff,No,75-84,Man,Laptop,Somewhat familiar,No AI use,2,1,No,No social media,7,23.5315,2.4000001,Yes,3,No,4,No,4,3,1,2,.66666669,.75,6,4,,,10,4,2,2,2,3,2,1,5,2,1,TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)",TP - correctly identified AI image (hit),"FN - missed AI image, called it real (miss)",FP - called real photo AI-generated (false alarm)
726,Faculty/Staff,No,65-74,Man,Mobile phone,Somewhat familiar,<1 hr/week,34,65,No,1-2 hrs/day,6,43.835999,7.5999999,No,8,Yes,9,No,4,2,3,1,.80000001,.40000001,5,5,,,10,8,8,4,9,5,8,9,8,8,9,TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),"FN - missed AI image, called it real (miss)",FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm),FP - called real photo AI-generated (false alarm)
555,Faculty/Staff,No,45-54,Man,Mobile phone,Somewhat familiar,<1 hr/week,25,46,No,2-4 hrs/day,4,39.700802,6.1999998,Yes,6,Yes,10,Yes,3,1,6,0,1,.14285715,3,7,,,10,6,3,6,5,7,2,8,9,9,7,TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm),FP - called real photo AI-generated (false alarm),FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),FP - called real photo AI-generated (false alarm),FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),FP - called real photo AI-generated (false alarm)
647,Faculty/Staff,No,45-54,Man,Mobile phone,Somewhat familiar,No AI use,41,32,No,1-2 hrs/day,8,36.0425,4.8000002,Yes,5,Yes,5,Yes,4,4,1,1,.80000001,.80000001,5,5,,,10,5,5,5,5,5,5,5,5,3,5,FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)",TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject)
895,Faculty/Staff,No,25-34,Non-binary / Third gender,Laptop,Somewhat familiar,No AI use,34,66,No,1-2 hrs/day,6,50.782902,7,Yes,10,Yes,10,Yes,5,1,3,1,.83333331,.25,6,4,,,10,7,8,7,8,7,5,6,3,10,9,TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)",TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),FP - called real photo AI-generated (false alarm),FP - called real photo AI-generated (false alarm),FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit)
241,Faculty/Staff,No,35-44,Woman,Laptop,Slightly familiar,No AI use,22,4,No,No social media,8,16.697701,4.5999999,Yes,6,Yes,7,Yes,6,2,0,2,.75,1,8,2,,,10,2,2,3,5,8,1,8,6,5,6,TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),"FN - missed AI image, called it real (miss)",TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)"
527,Faculty/Staff,No,45-54,Woman,Mobile phone,Somewhat familiar,<1 hr/week,58,75,No,<30 min/day,5,31.505699,7.3000002,Yes,10,Yes,10,Yes,2,3,4,1,.66666669,.42857143,3,7,,,10,5,7,3,9,8,9,7,8,9,8,FP - called real photo AI-generated (false alarm),FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm),"FN - missed AI image, called it real (miss)",TP - correctly identified AI image (hit),FP - called real photo AI-generated (false alarm)
377,Faculty/Staff,No,25-34,Woman,Mobile phone,Somewhat familiar,No AI use,49,7,No,30 min-1 hr/day,8,16.4667,5.5999999,Yes,6,Yes,9,Yes,5,3,1,1,.83333331,.75,6,4,,,10,6,6,2,2,8,6,5,4,10,7,TP - correctly identified AI image (hit),FP - called real photo AI-generated (false alarm),"FN - missed AI image, called it real (miss)",TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject)
1027,Faculty/Staff,No,25-34,Woman,Laptop,Slightly familiar,No AI use,7,0,No,No social media,8,21.429501,3.0999999,Yes,7,Yes,5,Yes,3,5,2,0,1,.71428573,3,7,,,11,5,5,5,2,2,3,1,3,2,3,TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject)
301,Faculty/Staff,No,55-64,Man,Laptop,Somewhat familiar,1-3 hrs/week,54,37,No,<30 min/day,6,15.7672,7.4000001,Yes,7,Yes,8,Yes,4,2,1,3,.5714286,.66666669,7,3,,,10,8,5,9,9,8,8,8,5,7,7,FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)",TP - correctly identified AI image (hit),"FN - missed AI image, called it real (miss)","FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject)
249,Faculty/Staff,No,,Woman,Mobile phone,Slightly familiar,No AI use,30,2,No,30 min-1 hr/day,5,15.7908,5.8000002,No,5,No,5,No,0,5,1,4,0,.83333331,4,6,,,10,4,9,6,5,5,5,5,6,6,7,TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)",FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)","FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject)
408,Faculty/Staff,No,,Woman,Laptop,Somewhat familiar,No AI use,48,25,No,30 min-1 hr/day,4,17.3799,7.6999998,Yes,9,Yes,8,Yes,1,3,3,3,.25,.5,4,6,,,10,8,7,8,7,9,7,8,7,8,8,TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),FP - called real photo AI-generated (false alarm),"FN - missed AI image, called it real (miss)",FP - called real photo AI-generated (false alarm),"FN - missed AI image, called it real (miss)","FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject)
536,Faculty/Staff,No,45-54,Woman,Mobile phone,Somewhat familiar,<1 hr/week,34,16,No,<30 min/day,9,29.2026,7.1999998,Yes,8,Yes,5,Yes,3,6,0,1,.75,1,4,6,,,10,8,5,7,8,8,7,6,7,8,8,TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)"
352,Faculty/Staff,No,45-54,Woman,Mobile phone,Somewhat familiar,<1 hr/week,49,51,No,1-2 hrs/day,6,19.7234,7,Yes,10,Yes,10,Yes,1,5,1,3,.25,.83333331,4,6,,,10,7,6,9,6,5,5,8,6,10,8,FP - called real photo AI-generated (false alarm),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),"FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject),"FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject)
280,Faculty/Staff,No,35-44,Woman,Mobile phone,Somewhat familiar,1-3 hrs/week,66,68,No,1-2 hrs/day,7,13.5357,5.1999998,Yes,10,Yes,10,Yes,3,4,1,2,.60000002,.80000001,5,5,,,10,7,10,2,3,4,1,5,7,8,5,TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TP - correctly identified AI image (hit),FP - called real photo AI-generated (false alarm),"FN - missed AI image, called it real (miss)","FN - missed AI image, called it real (miss)",TN - correctly identified real photo (correct reject),TN - correctly identified real photo (correct reject),TP - correctly identified AI image (hit),TN - correctly identified real photo (correct reject)
